,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,TUE,18,40,"[86, 92, 87, 86, 81, 94, 89, 89, 78, 59]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,TUE,18,50,"[65, 64, 64, 65, 65, 70, 67, 67, 56, 47]"
9,2호선,선릉역,220,20220930,20221229,211,성수역,234,신도림역,219,삼성역,1,0,TUE,18,50,"[19, 18, 18, 19, 19, 20, 19, 19, 16, 13]"
15,2호선,선릉역,220,20220930,20221229,234,신도림역,211-R,성수역,221,역삼역,0,0,TUE,18,00,"[82, 81, 84, 100, 93, 109, 98, 89, 78, 56]"
15,2호선,선릉역,220,20220930,20221229,234,신도림역,211-R,성수역,221,역삼역,0,0,TUE,18,10,"[126, 110, 117, 133, 122, 124, 129, 110, 95, 74]"
15,2호선,선릉역,220,20220930,20221229,234,신도림역,211-R,성수역,221,역삼역,0,0,TUE,18,20,"[121, 98, 104, 129, 119, 125, 121, 133, 103, 85]"
15,2호선,선릉역,220,20220930,20221229,234,신도림역,211-R,성수역,221,역삼역,0,0,TUE,18,30,"[58, 47, 55, 64, 67, 65, 61, 60, 54, 40]"
1,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211-R,성수역,221,역삼역,0,0,SAT,06,00,"[14, 11, 11, 15, 11, 7, 10, 8, 10, 3]"
1,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211-R,성수역,221,역삼역,0,0,SAT,06,10,"[18, 24, 27, 19, 21, 21, 19, 19, 10, 10]"
1,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211-R,성수역,221,역삼역,0,0,SAT,06,20,"[20, 14, 23, 21, 25, 21, 19, 24, 16, 9]"
1,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211-R,성수역,221,역삼역,0,0,SAT,06,30,"[14, 10, 17, 28, 22, 18, 25, 23, 20, 12]"
1,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211-R,성수역,221,역삼역,0,0,SAT,06,40,"[7, 9, 12, 15, 14, 11, 11, 9, 8, 6]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,SAT,06,10,"[8, 10, 11, 8, 9, 9, 8, 8, 4, 4]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,SAT,06,20,"[15, 11, 18, 17, 19, 16, 15, 19, 12, 7]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,SAT,06,30,"[11, 8, 13, 22, 18, 14, 20, 18, 16, 9]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,SAT,06,40,"[13, 17, 25, 29, 27, 22, 21, 19, 15, 11]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,SAT,06,50,"[15, 19, 19, 26, 27, 18, 20, 18, 16, 12]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,SAT,06,00,"[5, 7, 11, 10, 14, 11, 8, 12, 5, 8]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,SAT,06,10,"[12, 21, 19, 23, 27, 23, 8, 14, 15, 17]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,SAT,06,20,"[8, 11, 9, 15, 10, 17, 12, 13, 9, 6]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,SAT,06,30,"[6, 11, 10, 11, 10, 9, 11, 14, 11, 6]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,SAT,06,40,"[7, 5, 11, 15, 9, 8, 14, 10, 4, 7]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,SAT,06,50,"[5, 8, 12, 15, 10, 13, 13, 8, 8, 9]"
13,2호선,선릉역,220,20220930,20221229,228,서울대입구역,211-R,성수역,221,역삼역,0,0,SAT,06,00,"[28, 22, 21, 30, 22, 15, 20, 15, 20, 7]"
13,2호선,선릉역,220,20220930,20221229,228,서울대입구역,211-R,성수역,221,역삼역,0,0,SAT,06,10,"[10, 13, 14, 10, 11, 11, 10, 10, 5, 5]"
15,2호선,선릉역,220,20220930,20221229,234,신도림역,211-R,성수역,221,역삼역,0,0,SAT,06,00,"[32, 25, 24, 34, 26, 17, 23, 17, 23, 8]"
15,2호선,선릉역,220,20220930,20221229,234,신도림역,211-R,성수역,221,역삼역,0,0,SAT,06,10,"[14, 18, 20, 14, 16, 16, 14, 14, 8, 7]"
15,2호선,선릉역,220,20220930,20221229,234,신도림역,211-R,성수역,221,역삼역,0,0,SAT,06,20,"[18, 14, 21, 20, 23, 19, 18, 23, 15, 9]"
